Hit,Title,Artist,Featuring
1,Feelin' So Good,Jennifer Lopez Featuring Big Pun & Fat Joe,1
1,I Learned From The Best,Whitney Houston,0
1,Do What You Gotta Do,Garth Brooks,0
1,Been There,Clint Black With Steve Wariner,0
1,Anything,JAY-Z,0
1,You Sang To Me,Marc Anthony,0
1,Baby Don't Cry (Keep Ya Head Up II),2Pac + Outlawz,0
1,Party Up (Up In Here),DMX,0
1,That's What I'm Looking For,Da Brat,0
1,Stay Or Let It Go,Brian McKnight,0
1,There You Go,P!nk,0
1,Carlene,Phil Vassar,0
1,Whoa!,Black Rob,0
1,U Don't Love Me,Kumbia Kings Featuring A.B. Quintanilla,1
1,It Was,Chely Wright,0
1,Daddy Won't Sell The Farm,Montgomery Gentry,0
1,Still In My Heart,Tracie Spencer,0
1,Get Up,Amel Larrieux,0
1,Private Emotion,Ricky Martin Featuring Meja,1
1,Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean,0
1,The Way You Love Me,Faith Hill,0
1,She's More,Andy Griggs,0
1,Goodbye Earl,Dixie Chicks,0
1,Try Again,Aaliyah,0
1,He Wasn't Man Enough,Toni Braxton,0
1,The Bad Touch,Bloodhound Gang,0
1,Mr. Too Damn Good,Gerald Levert,0
1,"Ryde Or Die, Chick",The Lox Featuring Timbaland And EVE,1
1,Couldn't Last A Moment,Collin Raye,0
1,Whistle While You Twurk,Ying Yang Twins,0
1,No Mercy,Ty Herndon,0
1,You Owe Me,NAS Featuring Ginuwine,1
1,I Wish,Carl Thomas,0
1,I Belong To You,Lenny Kravitz,0
1,Can't Stay,Dave Hollister,0
1,Shackles (Praise You),Mary Mary,0
1,Unconditional,Clay Davidson,0
1,If You Don't Wanna Love Me,Tamar Braxton,0
1,Be With You,Enrique Iglesias,0
1,Where You Are,Jessica Simpson Featuring Nick Lachey,1
1,What I Need To Do,Kenny Chesney,0
1,Real Live Woman,Trisha Yearwood,0
1,Mirror Mirror,M2M,0
1,I'm Outta Love,Anastacia,0
1,Swear It Again,Westlife,0
1,Crash And Burn,Savage Garden,0
1,Better Off Alone,Alice Deejay,0
1,Purest Of Pain (A Puro Dolor),Son By Four,0
1,Kryptonite,3 Doors Down,0
1,Yes!,Chad Brock,0
1,I Turn To You,Christina Aguilera,0
1,Wobble Wobble,504 Boyz,0
1,I Don't Wanna Kiss You Goodnight,LFO,0
1,The Chain Of Love,Clay Walker,0
1,Graduation (Friends Forever),Vitamin C,0
1,Best Of Me,Mya Featuring Jadakiss,1
1,Give Me You,Mary J. Blige,0
1,This Time Around,Hanson,0
1,Someday Out Of The Blue,Elton John,0
1,Oops!...I Did It Again,Britney Spears,0
1,Big Pimpin',Jay-Z Featuring UGK,1
1,Broadway,Goo Goo Dolls,0
1,Where I Wanna Be,Donell Jones,0
1,It's So Hard,Big Punisher Featuring Donell Jones,1
1,Bent,matchbox twenty,0
1,Separated,Avant,0
1,More,Trace Adkins,0
1,Another Nine Minutes,Yankee Grey,0
1,Flowers On The Wall,Eric Heatherly,0
1,Back Here,BBMak,0
1,(Hot S**t) Country Grammar,Nelly,0
1,The Real Slim Shady,Eminem,0
1,Let's Get Married,Jagged Edge,0
1,It's Gonna Be Me,'N Sync,0
1,Absolutely (Story Of A Girl),Nine Days,0
1,Prayin' For Daylight,Rascal Flatts,0
1,Nothing As It Seems,Pearl Jam,0
1,"Jumpin', Jumpin'",Destiny's Child,0
1,Some Things Never Change,Tim McGraw,0
1,I Hope You Dance,Lee Ann Womack,0
1,With Arms Wide Open,Creed,0
1,I Disappear,Metallica,0
1,Me Neither,Brad Paisley,0
1,I'll Be,Reba McEntire,0
1,Love Sets You Free,Kelly Price & Friends,0
1,Desert Rose,Sting Featuring Cheb Mami,1
1,Dance Tonight,Lucy Pearl,0
1,Monica,Before Dark,0
1,Shut Up,"Trick Daddy Featuring Duece Poppito, Trina, Co",1
1,The One,Backstreet Boys,0
1,I Need You,LeAnn Rimes,0
1,The Next Episode,Dr. Dre Featuring Snoop Dogg,1
1,Wifey,Next,0
1,What'Chu Like,Da Brat Featuring Tyrese,1
1,3 Little Words,Nu Flavor,0
1,I Think God Can Explain,Splender,0
1,Whatever,Ideal Featuring Lil' Mo,1
1,No Me Dejes De Querer,Gloria Estefan,0
1,What About Now,Lonestar,0
1,I Will Love Again,Lara Fabian,0
1,You'll Always Be Loved By Me,Brooks & Dunn,0
1,When You Need My Love,Darryl Worley,0
1,Doesn't Really Matter,Janet,0
1,I Wanna Be With You,Mandy Moore,0
1,"Same Script, Different Cast",Whitney Houston & Deborah Cox,0
1,Could I Have This Kiss Forever,Whitney Houston & Enrique Iglesias,0
1,One Voice,Billy Gilman,0
1,Riddle,En Vogue,0
1,Crybaby,Mariah Carey Featuring Snoop Dogg,1
1,It Must Be Love,Alan Jackson,0
1,Incomplete,Sisqo,0
1,That's The Way,Jo Dee Messina,0
1,Taking You Home,Don Henley,0
1,Cold Day In July,Dixie Chicks,0
1,Take That,"Torrey Carter Featuring Missy ""Misdemeanor"" Elliott",1
1,Simple Kind Of Life,No Doubt,0
1,I Think I'm In Love With You,Jessica Simpson,0
1,No More,Ruff Endz,0
1,What You Want,DMX Featuring Sisqo,1
1,Got Beef,Snoop Dogg Presents Tha Eastsidaz Featuring Jayo Felony And Blaqthoven,1
1,Wonderful,Everclear,0
1,Sour Girl,Stone Temple Pilots,0
1,Faded,SoulDecision Featuring Thrust,1
1,Dancing Queen,A*Teens,0
1,Don't Call Me Baby,Madison Avenue,0
1,Change Your Mind,Sister Hazel,0
1,I Will...But,SHeDAISY,0
1,No Matter What They Say,Lil' Kim,0
1,Your Everything,Keith Urban,0
1,As We Lay,Kelly Price,0
1,Got It All,Eve & Jadakiss,0
1,Who Let The Dogs Out,Baha Men,0
1,Californication,Red Hot Chili Peppers,0
1,Last Resort,Papa Roach,0
1,Just Be A Man About It,Toni Braxton,0
1,Callin' Me,Lil' Zane Featuring 112,1
1,Dance With Me,Debelah Morgan,0
1,Come On Over Baby (All I Want Is You),Christina Aguilera,0
1,Don't Think I'm Not,Kandi,0
1,The Light,Common,0
1,Treat Her Like A Lady,Joe,0
1,Country Comes To Town,Toby Keith,0
1,West Side Story,LFO,0
1,Cherchez LaGhost,Ghostface Killah,0
1,Music,Madonna,0
1,Lucky,Britney Spears,0
1,It's My Life,Bon Jovi,0
1,It's Always Somethin',Joe Diffie,0
1,Let's Make Love,Faith Hill With Tim McGraw,0
1,Most Girls,P!nk,0
1,Shake Ya Ass,Mystikal,0
1,Hey Papi,Jay-Z Featuring Memphis Bleek & Amil,1
1,Imagine That,LL Cool J,0
1,Ta Da,Lil' Mo,0
1,Bounce With Me,Lil Bow Wow Featuring Xscape,1
1,Give Me Just One Night (Una Noche),98 Degrees,0
1,Bag Lady,Erykah Badu,0
1,Case Of The Ex (Whatcha Gonna Do),Mya,0
1,Baby U Are,Gerald Levert,0
1,Best Of Intentions,Travis Tritt,0
1,You're A God,Vertical Horizon,0
1,Go On,George Strait,0
1,Kiss This,Aaron Tippin,0
1,Open My Heart,Yolanda Adams,0
1,The Way I Am,Eminem,0
1,Aaron's Party (Come Get It),Aaron Carter,0
1,Deep Inside Of You,Third Eye Blind,0
1,Feels Like Love,Vince Gill,0
1,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),2Gether,0
1,Kernkraft 400,Zombie Nation,0
1,Pinch Me,Barenaked Ladies,0
1,There You Are,Martina McBride,0
1,The Little Girl,John Michael Montgomery,0
1,Can't Fight The Moonlight,LeAnn Rimes,0
1,Gotta Tell You,Samantha Mumba,0
1,Bad Boyz,Shyne Featuring Barrington Levy,1
1,Pull Over,Trina,0
1,Liar,Profyle,0
1,My Baby You,Marc Anthony,0
1,Between Me And You,Ja Rule Featuring Christina Milian,1
1,Can't Go For That,Tamia,0
1,That's The Kind Of Mood I'm In,Patty Loveless,0
1,Independent Women Part I,Destiny's Child,0
1,Summer Rain,Carl Thomas,0
1,You Should've Told Me,Kelly Price,0
1,You Won't Be Lonely Now,Billy Ray Cyrus,0
1,This I Promise You,'N Sync,0
1,I Wish,R. Kelly,0
1,That Other Woman,Changing Faces,0
1,Just Another Day In Paradise,Phil Vassar,0
1,What's Your Fantasy,Ludacris Featuring Shawnna,1
1,He Loves U Not,Dream,0
1,She Bangs,Ricky Martin,0
1,E.I.,Nelly,0
1,Beautiful Day,U2,0
1,911,Wyclef Jean Featuring Mary J. Blige,1
1,Without You,Dixie Chicks,0
1,Shape Of My Heart,Backstreet Boys,0
1,We Danced,Brad Paisley,0
1,Just Friends (Sunny),Musiq,0
1,What Means The World To You,Cam'ron,0
1,If You're Gone,matchbox twenty,0
1,Girls Dem Sugar,Beenie Man Featuring Mya,1
1,My Next Thirty Years,Tim McGraw,0
1,I Lost It,Kenny Chesney,0
1,Loser,3 Doors Down,0
1,Born To Fly,Sara Evans,0
1,My Love Goes On And On,Chris Cagle,0
1,I Just Wanna Love U (Give It 2 Me),JAY-Z,0
1,Sleepwalker,The Wallflowers,0
1,Hemorrhage (In My Hands),Fuel,0
1,Straight Up,Chante Moore,0
1,Toca's Miracle,Fragma,0
1,It Wasn't Me,"Shaggy Feat. Ricardo ""RikRok"" Ducent",0
1,Crazy For This Girl,Evan And Jaron,0
1,Pop Ya Collar,Usher,0
1,My First Love,Avant Featuring KeKe Wyatt,1
1,www.memory,Alan Jackson,0
1,Stan,Eminem Featuring Dido,1
1,No More (Baby I'ma Do Right),3LW,0
1,Ms. Jackson,OutKast,0
1,Rollin',Limp Bizkit,0
1,Do You,Funkmaster Flex Featuring DMX,1
1,Oklahoma,Billy Gilman,0
1,Where I Wanna Be,Damizza Presents Shade Sheist Featuring Nate Dogg & Kurupt,1
1,Again,Lenny Kravitz,0
1,Tell Her,Lonestar,0
1,Meanwhile Back At The Ranch,The Clark Family Experience,0
1,Souljas,Master P,0
1,Original Prankster,The Offspring,0
1,Emotional,Carl Thomas,0
1,How Many Licks?,Lil' Kim Featuring Sisqo,1
1,So In Love With Two,Mikaila,0
1,Bow Wow (That's My Name),Lil Bow Wow,0
1,If I Am,Nine Days,0
1,Stronger,Britney Spears,0
1,Babylon,David Gray,0
1,Burn,Jo Dee Messina,0
1,The Itch,Vitamin C,0
1,South Side,Moby Featuring Gwen Stefani,1
1,Spanish Guitar,Toni Braxton,0
1,Love Don't Cost A Thing,Jennifer Lopez,0
1,My Everything,98 Degrees,0
1,Crazy,K-Ci & JoJo,0
1,Ashes By Now,Lee Ann Womack,0
1,Don't Tell Me,Madonna,0
1,It's Over Now,112,0
1,One Woman Man,Dave Hollister,0
1,Project Chick,Cash Money Millionaires,0
1,A Little Gasoline,Terri Clark,0
1,Danger (Been So Long),Mystikal Featuring Nivea,1
1,Is That Your Chick,Memphis Bleek Featuring Jay-Z & Missy Elliott,1
1,Could It Be,Jaheim,0
1,Liquid Dreams,O-Town,0
1,Mamacita,Public Announcement,0
1,There Is No Arizona,Jamie O'Neal,0
1,Promise,Jagged Edge,0
1,This Everyday Love,Rascal Flatts,0
1,Wild Horses,Garth Brooks,0
1,But For The Grace Of God,Keith Urban,0
1,Put It On Me,Ja Rule Featuring Lil' Mo & Vita,1
1,All Good?,De La Soul Featuring Chaka Khan,1
1,Oh No,Mos Def & Pharoahe Monch Featuring Nate Dogg,1
1,The Christmas Shoes,NewSong,0
1,Still On Your Side,BBMak,0
1,You Shouldn't Kiss Me Like This,Toby Keith,0
1,X,Xzibit,0
1,Angel,Shaggy Featuring Rayvon,1
1,Thank You In Advance,Boyz II Men,0
1,I Know,Sunday,0
1,Where Are You Christmas?,Faith Hill,0
1,You Make Me Sick,P!nk,0
1,Stutter,Joe Featuring Mystikal,1
1,Butterfly,Crazy Town,0
1,Bouncing Off The Ceiling (Upside Down),A*Teens,0
1,Lady (Hear Me Tonight),Modjo,0
1,Cha-Cha Slide,Mr. C The Slide Man,0
1,Stranger In My House,Tamia,0
1,Thank You,Dido,0
1,After Party,Koffee Brown,0
1,By Your Side,Sade,0
1,A Good Day To Run,Darryl Worley,0
1,One More Day,Diamond Rio,0
1,Southern Hospitality,Ludacris,0
1,Jaded,Aerosmith,0
1,Nobody Wants To Be Lonely,Ricky Martin Duet With Christina Aguilera,0
1,I Did It,Dave Matthews Band,0
1,Who I Am,Jessica Andrews,0
1,Breathless,The Corrs,0
1,Outside,Aaron Lewis Of Staind With Fred Durst,0
1,Soul Sista,Bilal,0
1,Georgia,Carolyn Dawn Johnson,0
1,Free,Mya,0
1,Snoop Dogg,Snoop Dogg,0
1,If My Heart Had Wings,Faith Hill,0
1,Pour Me,Trick Pony,0
1,You All Dat,Baha Men With Imani Coppola,0
1,Change The Game,"Jay-Z, Beanie Sigel And Memphis Bleek",0
1,Around The World (La La La La La),ATC,0
1,Hanging By A Moment,Lifehouse,0
1,A Long Walk,Jill Scott,0
1,One Step Closer,Linkin Park,0
1,One More Time,Daft Punk,0
1,Missing You,Case,0
1,The Call,Backstreet Boys,0
1,Thank You For Loving Me,Bon Jovi,0
1,Who's That Girl?,Eve,0
1,Drive,Incubus,0
1,Love,Musiq Soulchild,0
1,Don't Talk,Jon B,0
1,Get Crunked Up,Iconz Featuring Tony Manshino,1
1,Ride Wit Me,Nelly Featuring City Spud,1
1,Just Another Girl,Monica,0
1,Look At Us,Sarina Paris,0
1,Never Had A Dream Come True,S Club 7,0
1,Best I Ever Had (Grey Sky Morning),Vertical Horizon,0
1,I'm Like A Bird,Nelly Furtado,0
1,"So Fresh, So Clean",OutKast,0
1,Oochie Wally,QB Finest Featuring Nas & Bravehearts,1
1,It's A Great Day To Be Alive,Travis Tritt,0
1,Chickenhead,Project Pat,0
1,Cross The Border,Philly's Most Wanted,0
1,Heard It All Before,Sunshine Anderson,0
1,Follow Me,Uncle Kracker,0
1,Yellow,Coldplay,0
1,Ain't Nothing 'Bout You,Brooks & Dunn,0
1,Don't Happen Twice,Kenny Chesney,0
1,Take It To Da House,Trick Daddy Featuring The SNS Express,1
1,All For You,Janet,0
1,Survivor,Destiny's Child,0
1,Maybe I Deserve,Tank,0
1,She Misses Him,Tim Rushlow,0
1,If I Fall You're Going Down With Me,Dixie Chicks,0
1,Drops Of Jupiter (Tell Me),Train,0
1,Lucky 4 You (Tonight I'm Just Me),SHeDAISY,0
1,Bizounce,Olivia,0
1,Get Ur Freak On,"Missy ""Misdemeanor"" Elliott",0
1,Lay Low,"Snoop Dogg Featuring Master P, Nate Dogg, Butch Cassidy & Tha Eastsidaz",1
1,Mrs. Steven Rudy,Mark McGuinn,0
1,What Would You Do?,City High,0
1,Get Over Yourself,Eden's Crush,0
1,Grown Men Don't Cry,Tim McGraw,0
1,Fiesta,R. Kelly Featuring Jay-Z,1
1,Request Line,The Black Eyed Peas Featuring Macy Gray,1
1,Video,India.Arie,0
1,Superwoman Pt. II,Lil' Mo Featuring Fabolous,1
1,Play,Jennifer Lopez,0
1,There It Is,Ginuwine,0
1,Right Where I Need To Be,Gary Allan,0
1,Too Little Too Late,Barenaked Ladies,0
1,I Like Them Girls,Tyrese,0
1,She Couldn't Change Me,Montgomery Gentry,0
1,La Bomba,Azul Azul,0
1,Guilty Until Proven Innocent,Jay-Z Featuring R. Kelly,1
1,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & P!nk",0
1,Peaches & Cream,112,0
1,If You Can Do Anything Else,George Strait,0
1,It's Been Awhile,Staind,0
1,Puppy Love,Lil Bow Wow Featuring Jagged Edge,1
1,Until The End Of Time,2Pac,0
1,I Could Not Ask For More,Sara Evans,0
1,Two People Fell In Love,Brad Paisley,0
1,Let Me Blow Ya Mind,Eve Featuring Gwen Stefani,1
1,My Way,Limp Bizkit,0
1,Rose Bouquet,Phil Vassar,0
1,When Somebody Loves You,Alan Jackson,0
1,That's How I Beat Shaq,Aaron Carter,0
1,"Like, Wow!",Leslie Carter,0
1,Mad Season,matchbox twenty,0
1,I'm Already There,Lonestar,0
1,Angel,Lionel Richie,0
1,What It Feels Like For A Girl,Madonna,0
1,Hit 'Em Up Style (Oops!),Blu Cantrell,0
1,Can't Believe,Faith Evans Featuring Carl Thomas,1
1,I Cry,Ja Rule Featuring Lil' Mo,1
1,This Is Me,Dream,0
1,"Baby, Come Over (This Is Our Night)",Samantha Mumba,0
1,Dream On,Depeche Mode,0
1,Everybody Doesn't,Amanda,0
1,There She Goes,Babyface,0
1,My Baby,Lil' Romeo,0
1,Irresistible,Jessica Simpson,0
1,The Space Between,Dave Matthews Band,0
1,Let's Get Dirty (I Can't Get In Da Club),Redman Featuring DJ Kool,1
1,There You'll Be,Faith Hill,0
1,More Than That,Backstreet Boys,0
1,Wait A Minute,Ray J Featuring Lil' Kim,1
1,Let's Get It,"Three The... G. Dep, P. Diddy & Black Rob",0
1,Imitation Of Life,R.E.M.,0
1,Austin,Blake Shelton,0
1,Pop,'N Sync,0
1,Music,Erick Sermon Featuring Marvin Gaye,1
1,Where The Party At,Jagged Edge With Nelly,0
1,When It's Over,Sugar Ray,0
1,We Need A Resolution,Aaliyah Featuring Timbaland,1
1,I Do!!,Toya,0
1,Playas Gon' Play,3LW,0
1,What I Really Meant To Say,Cyndi Thomson,0
1,All Or Nothing,O-Town,0
1,Bootylicious,Destiny's Child,0
1,Fill Me In,Craig David,0
1,Here's To The Night,Eve 6,0
1,When I Think About Angels,Jamie O'Neal,0
1,I Wanna Be Bad,Willa Ford,0
1,U Remind Me,Usher,0
1,Downtime,Jo Dee Messina,0
1,Where The Blacktop Ends,Keith Urban,0
1,I'm Just Talkin' About Tonight,Toby Keith,0
1,She's All I Got,Jimmy Cozier,0
1,Loaded,Ricky Martin,0
1,Fallin',Alicia Keys,0
1,Flavor Of The Weak,American Hi-Fi,0
1,Someone To Call My Lover,Janet,0
1,Loverboy,Mariah Carey Featuring Cameo,1
1,Schism,Tool,0
1,Purple Hills,D12,0
1,While You Loved Me,Rascal Flatts,0
1,Just In Case,Jaheim,0
1,What It Is,Violator Featuring Busta Rhymes,1
1,Midwest Swing,St. Lunatics,0
1,I'm Real,Jennifer Lopez Featuring Ja Rule,1
1,Laredo,Chris Cagle,0
1,The Way,Jill Scott,0
1,Contagious,The Isley Brothers Featuring Ronald Isley,1
1,One Minute Man,"Missy ""Misdemeanor"" Elliott",0
1,Only Time,Enya,0
1,Area Codes,Ludacris Featuring Nate Dogg,1
1,Miss California,Dante Thomas Featuring Pras,1
1,Just A Baby Boy,Snoop Dogg Featuring Tyrese & Mr. Tan,1
1,Take You Out,Luther Vandross,0
1,Only In America,Brooks & Dunn,0
1,I'm A Believer,Smash Mouth,0
1,Why They Call It Falling,Lee Ann Womack,0
1,Sandstorm,Darude,0
1,Can't Deny It,Fabolous Featuring Nate Dogg,1
1,I'm A Thug,Trick Daddy,0
1,Izzo (H.O.V.A.),JAY-Z,0
1,Bad Boy For Life,"P. Diddy, Black Rob & Mark Curry",0
1,Be Like That,3 Doors Down,0
1,Bad Day,Fuel,0
1,The Rock Show,Blink-182,0
1,Family Affair,Mary J. Blige,0
1,Differences,Ginuwine,0
1,On A Night Like This,Trick Pony,0
1,Start The Commotion,The Wiseguys,0
1,I Would've Loved You Anyway,Trisha Yearwood,0
1,I'll Fly With You (L'amour Toujours),Gigi D'Agostino,0
1,My Projects,Coo Coo Cal,0
1,Castles In The Sky,Ian Van Dahl Featuring Marsha,1
1,Set It Off,Juvenile,0
1,Six-Pack Summer,Phil Vassar,0
1,Crawling,Linkin Park,0
1,Raise Up,Petey Pablo,0
1,Because I Got High,Afroman,0
1,Turn Off The Light,Nelly Furtado,0
1,Angry All The Time,Tim McGraw,0
1,Don't Mess With The Radio,Nivea,0
1,Ghetto Girls,Lil Bow Wow,0
1,Every Other Time,LFO,0
1,Clint Eastwood,Gorillaz,0
1,Feelin' On Yo Booty,R. Kelly,0
1,Where I Come From,Alan Jackson,0
1,Smooth Criminal,Alien Ant Farm,0
1,Girl Next Door,Musiq Soulchild Featuring Ayana,1
1,Bia' Bia',"Lil Jon & The East Side Boyz Featuring Ludacris, Too Short, Big Kap & Chyna Whyte",1
1,AM To PM,Christina Milian,0
1,Everywhere,Michelle Branch,0
1,Superman (It's Not Easy),Five For Fighting,0
1,Fat Lip,Sum 41,0
1,Livin' It Up,Ja Rule Featuring Case,1
1,Ugly,Bubba Sparxxx,0
1,You Rock My World,Michael Jackson,0
1,Rock The Boat,Aaliyah,0
1,Lifetime,Maxwell,0
1,How You Remind Me,Nickelback,0
1,So Complicated,Carolyn Dawn Johnson,0
1,When God-Fearin' Women Get The Blues,Martina McBride,0
1,Dance With Me,112,0
1,Love Of My Life,Brian McKnight,0
1,Love Of A Woman,Travis Tritt,0
1,I'm A Survivor,Reba,0
1,Gone,'N Sync,0
1,Wish You Were Here,Incubus,0
1,U Got It Bad,Usher,0
1,What If,Babyface,0
1,Shine,"Lil' Wayne Featuring Baby, Mack 10 & Mickey",1
1,God Bless The USA,Lee Greenwood,0
1,Hero,Enrique Iglesias,0
1,The Star Spangled Banner,Whitney Houston,0
1,Stuck In A Moment You Can't Get Out Of,U2,0
1,Emotion,Destiny's Child,0
1,What Am I Gonna Do,Tyrese,0
1,John Doe,Public Announcement Featuring LeLe,1
1,What's Going On,All Star Tribute,0
1,You Gets No Love,Faith Evans,0
1,Angels In Waiting,Tammy Cochran,0
1,Do U Wanna Roll (Dolittle Theme),"R.L., Snoop Dogg & Lil' Kim",0
