Title,Artist,Featuring,Hit,Unnamed: 0.1,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,valence
U Understand,Juvenile,0,1,584,0.0585,0.901,259293,0.829,0,5,0.0498,-4.036,0.146,99.766,0.674
Freakin' It,Will Smith,0,1,698,0.198,0.873,239293,0.833,0,1,0.237,-5.511,0.189,112.001,0.927
I Learned From The Best,Whitney Houston,0,1,782,0.0109,0.609,259533,0.563,7.76E-06,5,0.156,-6.284,0.0328,148.949,0.306
Stay Or Let It Go,Brian McKnight,0,1,894,0.0198,0.639,279893,0.57,0.000565,5,0.215,-6.714,0.0382,79.993,0.458
Get Up,Amel Larrieux,0,1,999,0.31,0.631,244867,0.494,1.77E-05,11,0.064,-8.335,0.101,88.559,0.542
The Bad Touch,Bloodhound Gang,0,1,1169,0.00397,0.831,260507,0.735,0.0205,0,0.123,-6.254,0.0384,122.979,0.97
I Belong To You,Lenny Kravitz,0,1,1277,0.000647,0.691,257067,0.686,0.00456,7,0.106,-7.465,0.0493,87.312,0.666
Real Live Woman,Trisha Yearwood,0,1,1384,0.616,0.626,234400,0.41,3.11E-05,10,0.145,-8.551,0.0284,126.517,0.346
Yes!,Chad Brock,0,1,1489,0.00408,0.674,206733,0.623,5.61E-05,2,0.0488,-5.97,0.0283,126.547,0.452
This Time Around,Hanson,0,1,1621,0.0786,0.308,257973,0.894,0,1,0.135,-4.13,0.103,164.276,0.321
Separated,Avant,0,1,1761,0.247,0.798,255600,0.48,0,0,0.237,-5.564,0.0276,108.241,0.643
It's Gonna Be Me,'N Sync,0,1,1881,0.0407,0.636,192427,0.873,1.27E-06,0,0.0372,-4.672,0.071,165.071,0.908
I Disappear,Metallica,0,1,1985,0.000206,0.534,266240,0.929,5.58E-05,1,0.036,-3.609,0.047,122.733,0.447
The One,Backstreet Boys,0,1,2157,0.0646,0.663,226933,0.934,0,5,0.164,-4.227,0.0348,110.031,0.621
No Me Dejes De Querer,Gloria Estefan,0,1,2376,0.313,0.703,208427,0.889,0,10,0.534,-5.605,0.0974,83.287,0.874
Could I Have This Kiss Forever,Whitney Houston & Enrique Iglesias,0,1,2473,0.00791,0.478,235613,0.837,1.38E-05,10,0.109,-6.961,0.0571,93.782,0.48
Sour Girl,Stone Temple Pilots,0,1,2778,0.0769,0.394,256253,0.663,0.00644,0,0.239,-6.619,0.0295,207.575,0.737
As We Lay,Kelly Price,0,1,2881,0.425,0.577,380333,0.349,0,8,0.134,-7.77,0.0312,124.01,0.131
Come On Over Baby (All I Want Is You),Christina Aguilera,0,1,3156,0.226,0.829,203333,0.915,1.25E-05,8,0.246,-3.205,0.106,118.903,0.779
Lucky,Britney Spears,0,1,3260,0.262,0.765,206227,0.791,0.000154,8,0.0669,-5.707,0.0317,95.026,0.966
Ta Da,Lil' Mo,0,1,3299,0.0195,0.9,121856,0.508,0,5,0.0656,-8.161,0.336,129.856,0.67
Go On,George Strait,0,1,3470,0.52,0.637,177160,0.268,4.55E-06,9,0.0826,-14.594,0.0286,114.366,0.294
Liar,Profyle,0,1,3751,0.226,0.694,297893,0.617,0,10,0.247,-3.559,0.049,114.064,0.305
If You're Gone,matchbox twenty,0,1,4251,0.427,0.544,274933,0.659,1.33E-06,9,0.126,-7.191,0.0298,109.933,0.361
Sleepwalker,The Wallflowers,0,1,4372,0.000697,0.534,211027,0.892,0,4,0.109,-5.04,0.028,128.834,0.749
www.memory,Alan Jackson,0,1,4474,0.572,0.701,154200,0.503,0,5,0.333,-7.535,0.026,94.073,0.726
Again,Lenny Kravitz,0,1,4671,0.0148,0.55,231667,0.804,4.33E-05,2,0.105,-5.218,0.0271,79.166,0.789
Love Don't Cost A Thing,Jennifer Lopez,0,1,4945,0.00305,0.786,221227,0.842,3.54E-06,4,0.473,-5.115,0.0707,97.577,0.685
A Little Gasoline,Terri Clark,0,1,5074,0.103,0.629,188640,0.655,0,2,0.12,-3.798,0.0302,76.7,0.764
This Everyday Love,Rascal Flatts,0,1,5175,0.348,0.673,184107,0.812,0,0,0.106,-3.436,0.0468,95.024,0.96
You Shouldn't Kiss Me Like This,Toby Keith,0,1,5276,0.319,0.421,221067,0.79,3.41E-06,7,0.257,-4.457,0.0417,168.643,0.303
Butterfly,Crazy Town,0,1,5374,0.00132,0.736,216733,0.811,0.000142,9,0.107,-4.17,0.081,103.502,0.609
A Good Day To Run,Darryl Worley,0,1,5575,0.395,0.566,188333,0.794,1.09E-05,6,0.145,-5.537,0.0298,147.106,0.725
Thank You For Loving Me,Bon Jovi,0,1,5967,0.416,0.385,308933,0.342,0,2,0.119,-7.749,0.0285,132.864,0.131
Look At Us,Sarina Paris,0,1,6098,0.165,0.815,209787,0.832,0.00142,1,0.0732,-7.295,0.033,132.968,0.802
Cross The Border,Philly's Most Wanted,0,1,6197,0.294,0.684,255724,0.839,1.11E-06,8,0.0813,-2.59,0.26,91.136,0.786
Survivor,Destiny's Child,0,1,6342,0.0559,0.514,254027,0.911,0,1,0.775,-2.027,0.41,161.109,0.619
Lay Low,"Snoop Dogg Featuring Master P, Nate Dogg, Butch Cassidy & Tha Eastsidaz",1,1,6479,0.151,0.87,223000,0.653,0,0,0.303,-4.353,0.326,94.84,0.755
Guilty Until Proven Innocent,Jay-Z Featuring R. Kelly,1,1,6696,0.00398,0.797,295960,0.586,0,1,0.0523,-4.991,0.25,99.085,0.414
Two People Fell In Love,Brad Paisley,0,1,6978,0.332,0.6,247173,0.44,0,0,0.148,-10.79,0.0291,80.334,0.381
Dream On,Depeche Mode,0,1,7184,0.271,0.811,260680,0.563,0.00158,10,0.132,-9.452,0.0412,127.986,0.631
More Than That,Backstreet Boys,0,1,7367,0.0102,0.58,224933,0.729,0,4,0.0805,-6.705,0.0287,80.061,0.483
When It's Over,Sugar Ray,0,1,7475,0.0387,0.675,217853,0.775,0,4,0.383,-5.772,0.0522,99.945,0.933
Here's To The Night,Eve 6,0,1,7573,0.0405,0.583,249840,0.652,0.000378,7,0.0781,-6.255,0.0244,97.469,0.352
Loaded,Ricky Martin,0,1,7696,0.0109,0.506,233173,0.951,7.18E-05,9,0.0536,-4.305,0.0796,199.811,0.748
Just In Case,Jaheim,0,1,7881,0.0618,0.78,263866,0.572,0,0,0.0495,-6.797,0.0951,100.999,0.695
Only Time,Enya,0,1,8075,0.841,0.418,218547,0.249,0.661,3,0.112,-13.744,0.0301,82.803,0.213
Sandstorm,Darude,0,1,8191,0.169,0.539,225373,0.98,0.982,11,0.084,-8.18,0.0469,136.087,0.522
Family Affair,Mary J. Blige,0,1,8275,0.132,0.911,265867,0.551,4.12E-05,8,0.0863,-3.75,0.0449,92.887,0.969
Set It Off,Juvenile,0,1,8475,0.18,0.695,257000,0.595,1.20E-05,1,0.087,-9.091,0.194,168.136,0.746
AM To PM,Christina Milian,0,1,8698,0.153,0.872,231213,0.868,2.26E-05,10,0.843,-3.036,0.12,105.005,0.822
Lifetime,Maxwell,0,1,8871,0.307,0.695,329413,0.454,4.60E-06,9,0.0727,-7.267,0.0788,127.986,0.496
Gone,'N Sync,0,1,9062,0.43,0.704,292000,0.409,0,11,0.109,-8.581,0.0597,113.863,0.495
Stuck In A Moment You Can't Get Out Of,U2,0,1,9161,0.391,0.524,271800,0.644,0.000246,4,0.168,-4.986,0.0238,158.52,0.324
"Girls, Girls, Girls",JAY-Z,0,1,9364,0.144,0.509,275373,0.952,0,2,0.135,-4.444,0.336,83.068,0.7
Where The Stars And Stripes And The Eagle Fly,Aaron Tippin,0,1,9465,0.0351,0.597,228200,0.773,3.85E-05,2,0.248,-4.053,0.0288,100.009,0.354
Run,George Strait,0,1,9569,0.462,0.544,245427,0.57,0.00183,2,0.213,-10.192,0.0326,75.59,0.295
Alive,P.O.D.,0,1,9675,1.21E-05,0.421,205027,0.95,0.000214,10,0.314,-3.985,0.0768,80.912,0.553
Butterflies,Michael Jackson,0,1,9859,0.0583,0.708,279160,0.655,2.10E-06,8,0.11,-2.69,0.0883,89.99,0.545
Freedom,Paul McCartney,0,1,10296,0.15,0.369,198267,0.971,0.00261,7,0.992,-3.318,0.0685,114.049,0.758
The World's Greatest,R. Kelly,0,1,10458,0.248,0.661,277600,0.604,0,11,0.0469,-6.436,0.0358,95.971,0.721
Chop Suey,System Of A Down,0,1,10575,0.000278,0.419,210240,0.934,0.0015,7,0.132,-3.908,0.12,127.288,0.286
In Another World,Joe Diffie,0,1,10771,0.057,0.47,226533,0.63,0,7,0.257,-7.194,0.0266,78,0.357
U Don't Have To Call,Usher,0,1,11064,0.0478,0.793,269400,0.568,3.57E-05,1,0.0304,-4.958,0.0459,100.005,0.806
Foolish,Ashanti,0,1,11177,0.347,0.665,227387,0.695,0,0,0.106,-5.763,0.0532,90.119,0.707
What If She's An Angel,Tommy Shane Steiner,0,1,11275,0.308,0.535,215533,0.528,1.11E-06,8,0.0912,-7.453,0.0258,146.169,0.41
Pass The Courvoisier Part II,Busta Rhymes Featuring P. Diddy & Pharrell,1,1,11384,0.0844,0.697,238600,0.793,0,6,0.0619,-4.699,0.323,89.767,0.56
This Woman's Work,Maxwell,0,1,11574,0.676,0.467,240320,0.329,3.69E-05,8,0.108,-9.165,0.0326,113.643,0.141
Wish I Didn't Miss You,Angie Stone,0,1,11691,0.355,0.856,270893,0.755,0.000621,10,0.145,-5.691,0.0331,123.883,0.842
Hella Good,No Doubt,0,1,12062,0.0162,0.777,242253,0.673,0.00892,8,0.0869,-3.953,0.0351,115.133,0.821
Days Go By,Dirty Vegas,0,1,12383,0.0499,0.786,432147,0.853,0.0872,9,0.35,-8.274,0.0688,126.99,0.309
My Heart Is Lost To You,Brooks & Dunn,0,1,12574,0.188,0.524,178707,0.849,0,2,0.179,-4.634,0.0464,125.864,0.453
Call Me,Tweet,0,1,12666,0.484,0.552,177373,0.706,6.49E-05,1,0.074,-8.117,0.363,167.468,0.721
Why Don't We Fall In Love,Amerie,0,1,12770,0.0673,0.551,159293,0.773,3.39E-05,11,0.0511,-6.578,0.101,90.003,0.649
Unbroken,Tim McGraw,0,1,13168,0.0865,0.595,241427,0.792,0,1,0.0769,-6.979,0.0286,119.8,0.536
Papa Don't Preach,Kelly Osbourne,0,1,13273,1.52E-05,0.451,205253,0.898,0.0375,5,0.112,-2.801,0.0346,143.744,0.682
Tainted,Slum Village Featuring Dwele,1,1,13397,0.0102,0.915,266960,0.442,1.62E-05,9,0.279,-6.321,0.226,92.81,0.65
Stingy,Ginuwine,0,1,13568,0.26,0.622,259493,0.573,0,1,0.173,-6.934,0.0547,127.132,0.617
Burnin' Up,"Faith Evans Featuring Missy ""Misdemeanor"" Elliott",1,1,13764,0.162,0.726,211133,0.82,2.96E-06,11,0.212,-3.472,0.18,98.051,0.894
Somewhere Out There,Our Lady Peace,0,1,13874,0.000563,0.388,251333,0.746,0,1,0.0719,-5.306,0.0318,159.675,0.458
Cry,Faith Hill,0,1,13969,0.141,0.512,226307,0.645,0,8,0.0987,-5.631,0.029,111.015,0.283
Dirrty,Christina Aguilera Featuring Redman,1,1,14266,0.107,0.64,298853,0.889,0,2,0.339,-3.073,0.322,99.931,0.436
The Streets,WC Featuring Nate Dogg,1,1,14395,0.159,0.92,227867,0.811,0.0026,4,0.0935,-2.892,0.117,97.117,0.602
Jenny From The Block,Jennifer Lopez Featuring Styles & Jadakiss,1,1,14566,0.00833,0.844,187840,0.754,3.42E-06,6,0.0575,-5.46,0.207,100.002,0.961
You Know You're Right,Nirvana,0,1,14654,0.0407,0.289,217000,0.716,0.00123,5,0.135,-6.53,0.106,168.049,0.344
Girl Talk,TLC,0,1,14770,0.171,0.882,214760,0.671,0,2,0.0988,-5.161,0.126,95.018,0.34
Bother,Stone Sour,0,1,14875,0.388,0.272,240400,0.281,2.29E-05,1,0.158,-7.634,0.0287,89.914,0.141
Ignition,R. Kelly,0,1,14991,0.061,0.795,186067,0.523,0,1,0.0914,-7.165,0.0423,133.024,0.855
Beautiful,Christina Aguilera,0,1,15161,0.578,0.456,238560,0.573,3.05E-06,5,0.114,-3.866,0.0275,76.19,0.0992
Wanksta,50 Cent,0,1,15267,0.02,0.806,219400,0.867,0,1,0.131,-3.538,0.157,81.033,0.904
I Should Be...,Dru Hill,0,1,15371,0.199,0.383,297627,0.749,0,1,0.204,-3.931,0.084,122.141,0.466
Cry Me A River,Justin Timberlake,0,1,15543,0.575,0.624,288333,0.653,0,8,0.104,-6.582,0.176,73.884,0.565
Blowin' Me Up (With Her Love),JC Chasez,0,1,15793,0.00877,0.785,290200,0.783,0.00454,2,0.072,-3.982,0.187,98.132,0.592
Take You Home,Angie Martinez Featuring Kelis,1,1,16094,0.0663,0.595,233227,0.639,0,7,0.0588,-3.159,0.275,95.912,0.7
A.D.I.D.A.S.,Killer Mike Featuring Big Boi,1,1,16375,0.0107,0.927,210107,0.827,0,10,0.178,-3.269,0.219,93.034,0.692
Get Busy,Sean Paul,0,1,16481,0.615,0.735,211666,0.824,0,10,0.158,-4.143,0.036,100.202,0.726
Concrete Angel,Martina McBride,0,1,16764,0.498,0.622,253000,0.392,0,1,0.146,-9.737,0.0253,77.991,0.274
Put That Woman First,Jaheim,0,1,16874,0.492,0.649,245773,0.536,0,5,0.184,-8.804,0.132,78.935,0.513
Big Yellow Taxi,Counting Crows Featuring Vanessa Carlton,1,1,16962,0.00295,0.678,225573,0.866,0,1,0.16,-4.341,0.048,88.041,0.842
If You're Not The One,Daniel Bedingfield,0,1,17054,0.561,0.687,257160,0.537,0,10,0.107,-7.639,0.0305,120.023,0.264
Soldier's Heart,R. Kelly,0,1,17279,0.566,0.282,268051,0.143,0.898,1,0.141,-19.468,0.035,169.922,0.133
Stay Gone,Jimmy Wayne,0,1,17375,0.0976,0.52,226600,0.515,0,9,0.271,-5.497,0.0276,142.086,0.193
Miss Independent,Kelly Clarkson,0,1,17660,0.0861,0.655,214787,0.623,0.000346,11,0.0652,-6.302,0.116,175.973,0.615
Forever And For Always,Shania Twain,0,1,17774,0.232,0.469,283000,0.722,0,6,0.123,-4.806,0.0326,85.984,0.529
Act A Fool,Ludacris,0,1,17971,0.229,0.573,270733,0.906,0,9,0.183,-2.408,0.325,110.64,0.775
Celebrity,Brad Paisley,0,1,18073,0.379,0.643,223400,0.837,8.76E-06,0,0.18,-4.535,0.0316,123.777,0.787
Flying Without Wings,Ruben Studdard,0,1,18201,0.75,0.498,226133,0.493,0,8,0.115,-7.748,0.0369,146.049,0.222
"Pon De River, Pon De Bank",Elephant Man,0,1,18597,0.0741,0.692,239787,0.677,0,1,0.111,-6.225,0.371,101.087,0.848
This One's For The Girls,Martina McBride,0,1,18872,0.0626,0.613,243160,0.801,1.15E-05,8,0.124,-4.431,0.0354,126.966,0.609
Show Me How To Live,Audioslave,0,1,18979,0.000336,0.433,277840,0.854,0.000177,9,0.162,-3.868,0.0483,89.4,0.368
I Melt,Rascal Flatts,0,1,19078,0.209,0.573,234253,0.662,3.92E-05,9,0.323,-4.461,0.0265,140.046,0.256
Here Without You,3 Doors Down,0,1,19163,0.0492,0.557,238733,0.533,0,10,0.205,-6.817,0.0252,143.994,0.233
Clubbin,Marques Houston Featuring Joe Budden & Pied Piper,1,1,19280,0.0945,0.575,244227,0.496,0,4,0.0891,-6.716,0.164,103.49,0.288
Rubberneckin',Elvis Presley,0,1,19593,0.231,0.623,133813,0.613,0,10,0.12,-10.099,0.0698,144.334,0.918
Stacy's Mom,Fountains Of Wayne,0,1,19758,0.00207,0.774,197987,0.75,1.78E-05,11,0.0808,-4.927,0.0412,118.015,0.927
Party To Damascus,Wyclef Jean Featuring Missy Elliott,1,1,19889,0.125,0.691,243400,0.873,0,8,0.0913,-3.519,0.151,99.997,0.538
Clap Back,Ja Rule,0,1,19983,0.0415,0.632,296467,0.786,1.20E-05,9,0.0527,-5.596,0.354,94.499,0.699
Breathe,Michelle Branch,0,1,20162,0.0279,0.644,211773,0.753,0.00227,6,0.108,-4.296,0.0391,117.148,0.209
Still Frame,Trapt,0,1,20275,0.000866,0.445,271093,0.932,0,4,0.108,-4.739,0.316,113.945,0.51
Shake That Monkey,Too Short Featuring Lil Jon & The East Side Boyz,1,1,20396,0.000577,0.937,278707,0.695,3.19E-05,0,0.295,-6.932,0.134,99.997,0.457
Slow Jamz,Twista Featuring Kanye West & Jamie Foxx,1,1,20561,0.314,0.559,316053,0.733,0,2,0.284,-5.659,0.171,145.115,0.611
I Wanna Do It All,Terri Clark,0,1,20669,0.0668,0.626,173333,0.886,0,4,0.118,-4.787,0.034,132.905,0.782
Badaboom,B2K Featuring Fabolous,1,1,20790,0.0238,0.812,221067,0.626,0.000699,4,0.149,-5.025,0.149,96.006,0.811
Splash Waterfalls,Ludacris,0,1,20973,0.101,0.734,290760,0.846,0,11,0.233,-6.102,0.409,145.894,0.702
I Wish,Jo Dee Messina,0,1,21274,0.388,0.389,213547,0.515,0,7,0.0802,-6.224,0.03,70.136,0.164
Figured You Out,Nickelback,0,1,21475,2.63E-05,0.544,228480,0.867,0.0165,10,0.266,-5.527,0.0517,93.925,0.726
Come Clean,Hilary Duff,0,1,21752,0.016,0.577,214560,0.892,6.39E-05,8,0.299,-5.121,0.0675,118.096,0.454
Something Happened On The Way To Heaven,Deborah Cox,0,1,21894,0.0489,0.615,303640,0.964,0.000323,2,0.225,-6.842,0.0517,131.965,0.472
The Reason,Hoobastank,0,1,22061,0.0129,0.472,232800,0.671,0,4,0.159,-4.649,0.029,82.952,0.0681
Overnight Celebrity,Twista,0,1,22159,0.182,0.828,233360,0.792,0,10,0.281,-5.435,0.179,134.199,0.777
Baby I Love U,Jennifer Lopez,0,1,22271,0.018,0.832,268733,0.688,0.207,2,0.0596,-6.346,0.0468,111.965,0.399
Redneck Woman,Gretchen Wilson,0,1,22375,0.13,0.499,221333,0.825,0,6,0.306,-5.146,0.177,185.069,0.753
Culo,Pitbull Featuring Lil Jon,1,1,22583,0.114,0.858,219080,0.656,0,6,0.141,-4.96,0.358,59.972,0.969
Move Ya Body,Nina Sky Featuring Jabba,1,1,22672,0.0202,0.87,232000,0.712,0.000331,11,0.0576,-6.313,0.0432,121.057,0.877
Time's Up!,Jadakiss Featuring Nate Dogg,1,1,22790,0.085,0.822,216133,0.832,0,2,0.0711,-2.631,0.22,93.178,0.756
Ocean Avenue,Yellowcard,0,1,22873,3.43E-05,0.486,198267,0.904,2.83E-05,6,0.0947,-3.751,0.0638,173.734,0.786
Turn Me On,Kevin Lyttle Featuring Spragga Benz,1,1,22993,0.0405,0.677,192107,0.682,0,9,0.0351,-6.879,0.0361,106.279,0.875
U Should've Known Better,Monica,0,1,23166,0.191,0.753,257787,0.516,0,6,0.275,-5.164,0.0308,122.019,0.826
Diary,Alicia Keys Featuring Tony! Toni! Tone!,1,1,23357,0.559,0.664,284160,0.465,0.00174,8,0.125,-9.711,0.0317,127.932,0.281
So Sexy,Twista Featuring R. Kelly,1,1,23474,0.126,0.868,231200,0.805,0,11,0.096,-3.218,0.178,143.983,0.544
I Want To Live,Josh Gracin,0,1,23575,0.227,0.493,238893,0.679,0,6,0.32,-4.438,0.0337,160.106,0.448
Headsprung,LL Cool J,0,1,23688,0.0114,0.718,267320,0.786,2.50E-05,0,0.0745,-5.76,0.0284,99.916,0.465
My Place,Nelly Featuring Jaheim,1,1,23868,0.0498,0.6,336507,0.641,1.49E-06,1,0.0982,-4.237,0.0423,163.153,0.642
Just Like You,Three Days Grace,0,1,23978,9.40E-06,0.373,186893,0.737,0,1,0.0696,-5.282,0.0297,177.9,0.565
I Hate Everything,George Strait,0,1,24168,0.396,0.582,235427,0.542,0.00114,10,0.123,-10.041,0.0294,90.918,0.45
Knuck If You Buck,Crime Mob Featuring Lil Scrappy,1,1,24297,0.0582,0.865,205120,0.844,0,8,0.373,-4.946,0.311,150.09,0.755
Storm,Lenny Kravitz Featuring Jay-Z,1,1,24397,0.205,0.74,231773,0.655,4.32E-06,1,0.0972,-7.405,0.31,100.551,0.809
How Did You Know?,Mynt Featuring Kim Sozzi,1,1,24496,0.014,0.694,226400,0.858,9.28E-06,9,0.0856,-5.131,0.0361,128.011,0.779
Nothing On But The Radio,Gary Allan,0,1,24674,0.0572,0.679,212027,0.736,9.25E-06,9,0.139,-5.954,0.026,109.444,0.664
Drop It Like It's Hot,Snoop Dogg Featuring Pharrell,1,1,24850,0.19,0.888,266067,0.632,0,1,0.101,-3.872,0.219,91.979,0.662
Baby It's You,JoJo Featuring Bow Wow,1,1,24969,0.0169,0.858,188293,0.607,3.97E-05,1,0.0777,-4.199,0.118,119.986,0.821
Real Big,Mannie Fresh,0,1,25097,0.0139,0.724,228827,0.86,0,7,0.254,-3.544,0.0872,96.956,0.553
Take Me Home,Terror Squad,0,1,25193,0.129,0.81,210840,0.794,0,11,0.0524,-4.848,0.205,131.06,0.834
What U Gon' Do,Lil Jon & The East Side Boyz Featuring Lil Scrappy,1,1,25373,7.68E-05,0.838,320187,0.724,1.02E-06,1,0.162,-6.9,0.242,150.192,0.537
Only U,Ashanti,0,1,25562,0.0374,0.601,186307,0.621,1.75E-06,6,0.188,-5.576,0.0434,94.547,0.278
Soldier,Destiny's Child Featuring T.I. & Lil Wayne,1,1,25640,0.0444,0.878,325573,0.417,0,7,0.0833,-6.799,0.361,77.49,0.904
Nobody's Home,Avril Lavigne,0,1,25860,0.000516,0.348,212413,0.907,0,5,0.161,-3.66,0.0497,185.406,0.177
Since U Been Gone,Kelly Clarkson,0,1,25969,0.00165,0.662,188960,0.741,0.0303,0,0.114,-5.406,0.0334,131,0.404
A Rose By Any Other Name,Teena Marie Featuring Gerald Levert,1,1,26196,0.753,0.693,327160,0.704,0,6,0.121,-4.465,0.0506,128.288,0.514
Get Right,Jennifer Lopez,0,1,26452,0.0218,0.741,225533,0.759,0,0,0.628,-5.096,0.12,97.084,0.362
Let Me Go,3 Doors Down,0,1,26672,0.0181,0.48,243053,0.863,0,1,0.111,-4.914,0.0385,91.972,0.491
Goin' Crazy,Natalie,0,1,26779,0.624,0.6,294093,0.556,0.00735,1,0.0837,-7.294,0.026,105.957,0.233
Pain,Jimmy Eat World,0,1,26792,0.0181,0.39,181307,0.965,0,0,0.583,-3.38,0.119,168.006,0.195
Down And Out,Cam'Ron Featuring Kanye West & Syleena Johnson,1,1,26893,0.0232,0.74,248627,0.841,0,6,0.111,-2.891,0.237,83.007,0.673
Jerk It Out,Caesars,0,1,26994,0.0171,0.58,195667,0.981,1.07E-05,8,0.386,-2.603,0.06,134.007,0.861
In The Kitchen,R. Kelly,0,1,27096,0.415,0.713,217493,0.469,0,5,0.0999,-7.778,0.0436,127.837,0.369
How Do You Get That Lonely,Blaine Larsen,0,1,27290,0.446,0.594,248533,0.506,0,5,0.0616,-5.487,0.0267,135.809,0.268
Homewrecker,Gretchen Wilson,0,1,27390,0.0415,0.502,205973,0.68,3.70E-06,4,0.362,-5.707,0.0322,148.608,0.381
Devils & Dust,Bruce Springsteen,0,1,27671,0.374,0.638,298627,0.443,0.000483,2,0.547,-6.86,0.0283,111.079,0.556
Incomplete,Backstreet Boys,0,1,27754,0.231,0.437,239587,0.589,0,4,0.0768,-4.834,0.0331,133.631,0.165
Happy?,Mudvayne,0,1,27888,0.000823,0.546,216427,0.971,2.11E-05,5,0.275,-2.661,0.0965,100.078,0.383
Blue Orchid,The White Stripes,0,1,27942,0.0875,0.482,157560,0.642,7.34E-06,10,0.31,-8.535,0.325,151.323,0.6
Best Of You,Foo Fighters,0,1,28050,0.000769,0.366,255627,0.94,9.42E-05,1,0.188,-5.119,0.0696,130.198,0.369
Errtime,Nelly Featuring Jung Tru & King Jacob,1,1,28254,0.463,0.868,249507,0.916,0,1,0.071,-3.119,0.277,102.827,0.729
Get It Poppin',Fat Joe Featuring Nelly,1,1,28387,0.0628,0.905,211320,0.55,0,1,0.0644,-7.558,0.372,100.813,0.52
Goodbye Time,Blake Shelton,0,1,28494,0.295,0.51,201733,0.348,2.47E-05,2,0.242,-7.849,0.0261,77.041,0.159
Right Here,Staind,0,1,28684,0.00136,0.492,253933,0.646,2.21E-05,10,0.121,-5.334,0.0303,112.228,0.214
Play Something Country,Brooks & Dunn,0,1,28791,0.0782,0.684,195280,0.909,1.22E-06,0,0.373,-3.797,0.0321,115.034,0.864
Badd,Ying Yang Twins Featuring Mike Jones & Mr. ColliPark,1,1,28991,0.0642,0.554,215933,0.846,0,8,0.401,-5.932,0.387,100.141,0.765
Like You,Bow Wow Featuring Ciara,1,1,29262,0.0465,0.714,205840,0.6,0,6,0.0646,-8.365,0.0876,82.017,0.504
Redneck Yacht Club,Craig Morgan,0,1,29299,0.455,0.49,230373,0.817,0,8,0.0885,-5.405,0.0355,168.115,0.808
My Humps,The Black Eyed Peas,0,1,29484,0.0195,0.745,241407,0.00177,0.934,5,0.0846,-11.352,0.076,100.985,0.619
Photograph,Nickelback,0,1,29774,0.000932,0.513,258920,0.877,0.000163,8,0.136,-3.756,0.0292,145.919,0.389
Lighters Up,Lil' Kim,0,1,29999,0.00494,0.624,262640,0.764,0,9,0.107,-6.31,0.396,91.73,0.719
Laffy Taffy,D4L,0,1,30097,0.0351,0.891,224253,0.439,0,7,0.0932,-7.994,0.428,77.499,0.622
Stricken,Disturbed,0,1,30195,8.51E-05,0.404,245227,0.969,0.0114,8,0.268,-2.938,0.195,173.878,0.29
I Don't Care,Ricky Martin Featuring Fat Joe & Amerie,1,1,30297,0.0172,0.855,228480,0.739,0,1,0.15,-6.892,0.158,103.808,0.606
