Title,Artist,Featuring,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,valence,Hit
Rollin' (Air Raid Vehicle),Limp Bizkit,0,213760,0.00506,0.599,0.932,0.0,9,0.26899999999999996,-3.3280000000000003,0.18,96.234,0.6920000000000001,0
Fat Lip,Sum 41,0,178266,0.000618,0.574,0.9109999999999999,0.0,9,0.0769,-5.176,0.0715,98.075,0.573,0
The Pretender,Foo Fighters,0,269373,0.000917,0.433,0.9590000000000001,0.0,9,0.027999999999999997,-4.04,0.0431,172.984,0.365,0
Savior,Rise Against,0,242280,0.00164,0.5489999999999999,0.93,6.670000000000001e-05,5,0.39,-3.468,0.0487,112.447,0.526,0
Bodies,Drowning Pool,0,201960,0.0034700000000000004,0.6559999999999999,0.932,0.00147,4,0.14400000000000002,-3.405,0.0708,130.936,0.544,0
"Sugar, We're Goin Down",Fall Out Boy,0,229093,0.00898,0.499,0.8240000000000001,0.0,7,0.163,-4.7410000000000005,0.0794,161.977,0.6990000000000001,0
Last Nite,The Strokes,0,193373,0.0223,0.624,0.899,0.000155,0,0.0975,-5.71,0.0295,104.055,0.797,0
Through Glass,Stone Sour,0,282946,0.0417,0.545,0.753,0.0,3,0.389,-4.618,0.036000000000000004,105.75399999999999,0.434,0
The Diary of Jane - Single Version,Breaking Benjamin,0,200546,5.5299999999999996e-05,0.374,0.961,0.0834,10,0.138,-4.421,0.0851,167.032,0.35700000000000004,0
Down With the Sickness,Disturbed,0,279213,0.0009960000000000001,0.695,0.8759999999999999,6.89e-06,3,0.106,-4.262,0.0553,89.954,0.941,0
Wish You Were Here,Incubus,0,212733,0.0006309999999999999,0.24600000000000002,0.768,0.301,9,0.102,-7.48,0.0387,169.873,0.35,0
Youth Of The Nation,P.O.D.,0,256240,0.00834,0.563,0.86,0.0106,8,0.39,-7.5329999999999995,0.0621,97.867,0.517,0
Vertigo,U2,0,194520,0.000153,0.391,0.831,0.0019199999999999998,2,0.141,-3.892,0.0613,139.946,0.6829999999999999,0
Miss Murder,AFI,0,206586,0.000213,0.309,0.875,0.00168,1,0.113,-4.49,0.0488,143.526,0.725,0
I Bet You Look Good On The Dancefloor,Arctic Monkeys,0,173680,0.00225,0.535,0.948,0.0,6,0.376,-4.19,0.0356,103.18299999999999,0.778,0
"Steady, As She Goes",The Raconteurs,0,215266,0.0132,0.524,0.578,0.00921,9,0.10800000000000001,-4.563,0.12,123.669,0.537,0
Falling Away from Me,Korn,0,270920,0.00014,0.46799999999999997,0.769,0.00124,4,0.271,-7.0360000000000005,0.040999999999999995,104.102,0.17,0
Crawling In The Dark,Hoobastank,0,175026,0.000295,0.5920000000000001,0.932,7.59e-05,6,0.138,-4.4910000000000005,0.0885,93.675,0.698,0
I Stand Alone,Godsmack,0,246040,4.7799999999999996e-05,0.213,0.93,0.0,0,0.126,-4.478,0.0671,169.22099999999998,0.386,0
Woman,Wolfmother,0,176306,5.1e-05,0.21899999999999997,0.9520000000000001,0.0989,2,0.157,-3.6210000000000004,0.17600000000000002,112.88600000000001,0.172,0
Show Me How to Live,Audioslave,0,277840,0.000336,0.433,0.8540000000000001,0.000177,9,0.162,-3.8680000000000003,0.0483,89.4,0.368,0
The Red,Chevelle,0,238400,0.000671,0.509,0.843,0.0008029999999999999,1,0.348,-3.318,0.0488,140.055,0.332,0
Remedy,Seether,0,207213,0.00018,0.546,0.9590000000000001,0.00144,8,0.0584,-4.664,0.08199999999999999,127.831,0.41600000000000004,0
Plug In Baby,Muse,0,218000,6.94e-06,0.408,0.965,0.00040199999999999996,2,0.11,-4.232,0.05,136.018,0.349,0
Change (In the House of Flies) - In The House Of Flies LP Version,Deftones,0,299533,0.00024900000000000004,0.26899999999999996,0.853,0.000246,7,0.11800000000000001,-4.647,0.0854,141.58100000000002,0.179,0
Judith,A Perfect Circle,0,247266,3.32e-05,0.365,0.894,0.171,11,0.267,-4.6819999999999995,0.0572,82.305,0.31,0
MIA (feat. Drake),Bad Bunny,1,210367,0.0143,0.818,0.54,0.000512,6,0.099,-6.35,0.0544,97.064,0.174,0
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,1,212500,0.153,0.841,0.7979999999999999,3.33e-06,1,0.0618,-4.206,0.22899999999999998,95.948,0.591,0
White Boi,Dillon Francis,0,185282,0.0983,0.83,0.49700000000000005,0.0,1,0.0906,-6.94,0.052000000000000005,127.965,0.634,0
Just Wanna Love You (feat. J. Balvin),Cris Cab,1,199230,0.0557,0.687,0.7659999999999999,0.00107,11,0.146,-6.08,0.054000000000000006,94.973,0.303,0
Beautiful (feat. Camila Cabello),Bazzi,1,180000,0.34600000000000003,0.638,0.7170000000000001,0.0,2,0.105,-4.7219999999999995,0.0337,100.027,0.249,0
Celoso,Lele Pons,0,179693,0.35200000000000004,0.746,0.703,0.0,4,0.331,-4.178999999999999,0.107,166.043,0.667,0
Good Vibes,Fuego,0,235720,0.0348,0.823,0.63,6.72e-06,7,0.0964,-3.932,0.0797,100.04,0.184,0
Real Friends,Camila Cabello,0,223583,0.235,0.701,0.512,5.07e-06,0,0.135,-6.869,0.0969,91.947,0.6629999999999999,0
Pa La Calle,COASTCITY,0,243487,0.11699999999999999,0.695,0.884,0.0,0,0.10400000000000001,-6.279,0.131,74.992,0.8540000000000001,0
Pa Mí,Dalex,0,210865,0.716,0.722,0.584,0.000321,11,0.115,-8.467,0.318,169.97799999999998,0.6459999999999999,0
Wake Up in the Sky,Gucci Mane,0,204664,0.00381,0.8,0.578,0.0,4,0.359,-5.144,0.0485,143.01,0.36700000000000005,0
Está Rico,Marc Anthony,0,215151,0.266,0.8170000000000001,0.74,0.0,11,0.0992,-4.566,0.28300000000000003,130.04,0.674,0
Banana Clip - Spanish Version,Miguel,0,202373,0.107,0.39799999999999996,0.66,0.0,1,0.121,-5.626,0.12,83.82799999999999,0.7190000000000001,0
YAKWTFGO (feat. Kali Uchis),BIA,1,162733,0.0039700000000000004,0.812,0.748,0.0,5,0.174,-5.959,0.139,132.035,0.158,0
Come With Me,Kap G,0,157461,0.0526,0.659,0.7340000000000001,2.48e-06,10,0.242,-4.008,0.046,161.971,0.34600000000000003,0
Como Si Na,Melii,0,170997,0.23199999999999998,0.705,0.778,0.0,9,0.244,-4.101,0.177,160.099,0.7090000000000001,0
Blah,Mariah,0,188440,0.0255,0.723,0.687,0.000207,11,0.124,-4.632,0.2,173.747,0.777,0
Love N Hennessy REMIX (feat. 2 Chainz & Nicky Jam),A.CHAL,1,253714,0.0257,0.9279999999999999,0.402,0.0,8,0.0804,-7.569,0.451,139.998,0.62,0
Mi Infinita,Cuco,0,272000,0.902,0.465,0.675,0.267,10,0.11,-7.555,0.0485,119.941,0.129,0
Coqueta,Katzù Oso,0,174000,0.5710000000000001,0.632,0.652,0.85,4,0.19399999999999998,-10.558,0.0302,115.031,0.594,0
Sola,Jessie Reyez,0,209573,0.9209999999999999,0.47100000000000003,0.179,0.0,9,0.10099999999999999,-10.273,0.08900000000000001,174.273,0.19399999999999998,0
Nuestro Planeta (feat. Reykon),Kali Uchis,1,202754,0.0857,0.871,0.545,0.000499,0,0.0756,-6.466,0.0625,96.035,0.415,0
Hijo de Su Madre,Omar Apollo,0,178009,0.0646,0.8290000000000001,0.606,0.391,5,0.281,-7.093,0.149,118.051,0.732,0
Lento,Rudy Mancuso,0,169251,0.149,0.8370000000000001,0.649,7.63e-05,11,0.10300000000000001,-5.26,0.192,164.002,0.948,0
Dicen,Matt Hunter,0,220826,0.13699999999999998,0.8170000000000001,0.635,7.85e-06,5,0.245,-5.718999999999999,0.138,103.029,0.777,0
BEBE,6ix9ine,0,217822,0.172,0.635,0.902,0.0,0,0.125,-3.5589999999999997,0.109,102.06299999999999,0.28600000000000003,0
I Like It,Cardi B,0,253390,0.099,0.816,0.726,0.0,5,0.37200000000000005,-3.998,0.129,136.048,0.65,0
Zooted (feat. French Montana & Farruko),Becky G,1,217652,0.267,0.815,0.626,1.31e-05,6,0.275,-5.138999999999999,0.10300000000000001,109.98899999999999,0.5710000000000001,0
Havana - Remix,Camila Cabello,0,199095,0.39799999999999996,0.7509999999999999,0.579,2.2800000000000002e-05,2,0.133,-4.0360000000000005,0.0321,105.031,0.349,0
Pum Pum,Sammi Sanchez,0,185743,0.0749,0.736,0.9059999999999999,0.000123,4,0.12,-1.49,0.0566,93.01299999999999,0.611,0
Quiero Saber,Jesse Baez,0,166253,0.00245,0.695,0.818,3.36e-06,6,0.305,-5.532,0.0482,102.976,0.599,0
Como,Kim Viera,0,234373,0.00323,0.5429999999999999,0.847,0.0,9,0.0551,-3.574,0.0659,92.046,0.65,0
Anywhere Contigo,Breakfast n Vegas,0,193846,0.271,0.841,0.841,2.6000000000000002e-05,9,0.10800000000000001,-4.288,0.0633,104.01,0.823,0
No Gratis,Messiah,0,208800,0.425,0.777,0.546,0.0,7,0.0809,-9.504,0.207,147.173,0.9520000000000001,0
Díganle - Tainy Remix,Leslie Grace,0,211437,0.102,0.84,0.789,0.0,1,0.309,-4.695,0.0949,92.01799999999999,0.619,0
Sangria Wine,Pharrell Williams,0,202853,0.18100000000000002,0.831,0.713,0.0,1,0.0572,-3.6460000000000004,0.094,132.109,0.69,0
All Day,DaniLeigh,0,198386,0.0797,0.825,0.48100000000000004,0.0,2,0.239,-8.6,0.0396,121.046,0.7609999999999999,0
Just As I Am,Spiff TV,0,224413,0.235,0.682,0.7509999999999999,0.0,8,0.11,-5.812,0.0675,129.937,0.708,0
Nice & Slow,Nina Sky,0,218448,0.006940000000000001,0.799,0.616,0.00237,5,0.28300000000000003,-4.599,0.0415,127.023,0.6970000000000001,0
Scooby Doo Pa Pa (Remix),Dj Kass,0,176702,0.196,0.9209999999999999,0.965,0.00020099999999999998,1,0.32299999999999995,-1.396,0.17800000000000002,120.902,0.507,0
Don't Werk,Paula DeAnda,0,133120,0.10800000000000001,0.703,0.617,5.610000000000001e-05,7,0.271,-8.732000000000001,0.0731,123.15899999999999,0.435,0
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,1,201526,0.165,0.792,0.895,0.0,1,0.0501,-3.112,0.0589,94.96799999999999,0.794,0
Pa Mi (with Ozuna),Tory Lanez,1,216689,0.0983,0.596,0.557,0.0,1,0.0565,-7.522,0.134,133.247,0.6609999999999999,0
Lo Siento,SUPER JUNIOR,0,226183,0.0705,0.746,0.738,0.0,9,0.043,-3.67,0.207,94.80799999999999,0.63,0
Nuestra Cancion Pt. 2 (feat. Arcángel),Snow Tha Product,1,215003,0.0079,0.493,0.825,0.0,8,0.129,-4.056,0.0798,99.866,0.621,0
La Hora Loca,Jackie Cruz,0,175239,0.0429,0.836,0.725,0.0,7,0.10800000000000001,-5.445,0.0571,126.035,0.76,0
Dinero - English Version,Trinidad Cardona,0,161093,0.00436,0.701,0.779,0.0,11,0.121,-4.657,0.0647,119.97399999999999,0.451,0
Pum Pum (feat. Kap G & Play-N-Skillz),Messiah,1,182224,0.149,0.871,0.563,0.0,10,0.0568,-8.329,0.0795,91.99799999999999,0.62,0
Hora Loca,DJ Africa,0,215421,0.0507,0.65,0.8009999999999999,0.0,7,0.0645,-5.407,0.0723,166.16,0.74,0
Better With You,Michl,0,196018,0.265,0.784,0.43700000000000006,6.979999999999999e-05,5,0.126,-7.867999999999999,0.0509,90.00299999999999,0.47,0
NIGHTS LIKE THESE,Ne-Yo,0,204453,0.133,0.494,0.7290000000000001,0.0,2,0.14300000000000002,-4.934,0.161,78.833,0.42100000000000004,0
Alright,Anthony Ramos,0,229038,0.0199,0.561,0.58,0.0,5,0.0619,-5.612,0.0414,84.98,0.294,0
Insecure,Amara La Negra,0,191906,0.369,0.483,0.685,0.0,10,0.0817,-3.2319999999999998,0.174,185.502,0.546,0
Si Una Vez - (If I Once)[Spanglish Version],Play-N-Skillz,0,237860,0.0762,0.62,0.823,3.13e-05,5,0.11199999999999999,-2.436,0.0567,175.921,0.40399999999999997,0
Finesse (Remix) [feat. Cardi B],Bruno Mars,0,217288,0.0185,0.7040000000000001,0.8590000000000001,0.0,5,0.0215,-4.877,0.0996,105.115,0.9259999999999999,0
Belong To U,Fancy Cars,0,202574,0.586,0.633,0.765,6.890000000000001e-05,1,0.0966,-5.732,0.0474,100.934,0.489,0
Sunny Daze,Salaam Remi,0,167823,0.569,0.853,0.7140000000000001,0.0101,7,0.0716,-6.1770000000000005,0.0767,92.375,0.836,0
"Uno Más Feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez (Remix)",N.O.R.E.,0,241135,0.0652,0.8,0.8370000000000001,4.52e-05,7,0.0699,-4.488,0.099,105.02600000000001,0.813,0
Island,Lil Eddie,0,194011,0.11800000000000001,0.743,0.7929999999999999,6.07e-05,2,0.22699999999999998,-5.032,0.0546,109.921,0.434,0
Crazy In Love,Beyoncé,0,236133,0.00249,0.6459999999999999,0.77,0.0,2,0.0715,-6.596,0.226,99.165,0.6809999999999999,0
Rock Your Body,Justin Timberlake,0,267266,0.20199999999999999,0.8909999999999999,0.7140000000000001,0.000234,4,0.0521,-6.055,0.14,100.97200000000001,0.818,0
Beautiful Girls,Sean Kingston,0,241933,0.159,0.745,0.6659999999999999,0.0,9,0.302,-5.899,0.0566,129.995,0.708,0
Toxic,Britney Spears,0,198813,0.0279,0.774,0.847,0.0183,5,0.24100000000000002,-3.925,0.121,143.011,0.9229999999999999,0
Michael Jackson x Mark Ronson: Diamonds are Invincible,Michael Jackson,0,300026,0.342,0.672,0.8320000000000001,0.00042800000000000005,11,0.242,-2.388,0.342,117.29799999999999,0.5489999999999999,0
Yeah!,Usher,0,250373,0.0183,0.894,0.7909999999999999,0.0,2,0.0388,-4.699,0.11199999999999999,105.01799999999999,0.583,0
Live Your Life (feat. Rihanna),T.I.,1,338853,0.071,0.375,0.862,0.0,11,0.21100000000000002,-3.363,0.255,159.841,0.478,0
Hips Don't Lie,Shakira,0,218093,0.284,0.778,0.8240000000000001,0.0,10,0.405,-5.892,0.0712,100.024,0.7559999999999999,0
"Hey, Soul Sister",Train,0,216666,0.217,0.675,0.885,0.0,1,0.086,-4.4319999999999995,0.0436,97.03,0.768,0
Pumped Up Kicks,Foster The People,0,239600,0.145,0.733,0.71,0.115,5,0.0956,-5.849,0.0292,127.975,0.965,0
Love Never Felt so Good,Michael Jackson,0,246026,0.132,0.775,0.7190000000000001,1.79e-06,7,0.0662,-6.212000000000001,0.0435,117.51299999999999,0.7120000000000001,0
Hall of Fame,The Script,0,202533,0.0653,0.42100000000000004,0.873,0.0,10,0.12300000000000001,-4.343,0.0565,84.803,0.63,0
All of Me,John Legend,0,269560,0.922,0.42200000000000004,0.264,0.0,8,0.132,-7.064,0.0322,119.93,0.331,0
Drops of Jupiter,Train,0,259933,0.154,0.46799999999999997,0.64,0.0,0,0.154,-5.862,0.0275,79.297,0.499,0
We Can't Stop,Miley Cyrus,0,231240,0.00882,0.613,0.622,0.0,1,0.37,-5.794,0.0334,80.003,0.484,0
Fighter,Christina Aguilera,0,245960,0.235,0.435,0.92,0.00035299999999999996,4,0.552,-1.357,0.201,188.899,0.45,0
Since U Been Gone,Kelly Clarkson,0,188960,0.00165,0.662,0.741,0.0303,0,0.114,-5.406000000000001,0.0334,131.0,0.40399999999999997,0
Hey Ya! - Radio Mix / Club Mix,OutKast,0,235213,0.10300000000000001,0.728,0.9740000000000001,0.000532,4,0.175,-2.261,0.0665,79.52600000000001,0.965,0
TiK ToK,Kesha,0,199693,0.0746,0.755,0.8320000000000001,1.27e-06,2,0.29100000000000004,-2.741,0.11599999999999999,120.03200000000001,0.735,0
Look At Me Now,Chris Brown,0,223933,0.0439,0.764,0.6940000000000001,3.67e-06,11,0.18,-5.745,0.18899999999999997,146.075,0.581,0
SexyBack,Justin Timberlake,0,242733,0.0584,0.9670000000000001,0.583,0.0,7,0.0519,-5.562,0.0789,117.0,0.9640000000000001,0
With You,Chris Brown,0,252160,0.14300000000000002,0.659,0.696,0.0,3,0.13,-4.291,0.071,86.001,0.665,0
Breakeven,The Script,0,261426,0.17300000000000001,0.63,0.698,0.0,10,0.0789,-4.51,0.0244,94.023,0.529,0
I Know You Want Me (Calle Ocho),Pitbull,0,237120,0.0142,0.8240000000000001,0.743,2.12e-05,2,0.237,-5.995,0.141,127.046,0.804,0
Bye Bye Bye,*NSYNC,0,200400,0.031,0.61,0.9259999999999999,0.0012,8,0.0821,-4.843,0.0479,172.638,0.861,0
Complicated,Avril Lavigne,0,244506,0.0572,0.585,0.7759999999999999,7.74e-06,5,0.3,-5.898,0.0459,77.987,0.42700000000000005,0
Let Me Love You,Mario,0,256733,0.235,0.6559999999999999,0.578,0.0,7,0.11800000000000001,-8.97,0.0922,94.514,0.556,0
Beautiful,Christina Aguilera,0,238560,0.578,0.457,0.573,3.05e-06,5,0.114,-3.866,0.0275,76.193,0.0992,0
Raise Your Glass,P!nk,0,203306,0.00611,0.701,0.7,0.0,7,0.0295,-4.934,0.0876,122.035,0.625,0
Timber,Pitbull,0,204160,0.0295,0.581,0.963,0.0,11,0.139,-4.087,0.0981,129.99200000000002,0.7879999999999999,0
What Makes You Beautiful,One Direction,0,198053,0.00761,0.7290000000000001,0.7709999999999999,0.0,4,0.087,-2.451,0.0725,125.01100000000001,0.873,0
No One,Alicia Keys,0,253813,0.03,0.649,0.552,6.47e-06,1,0.111,-5.419,0.0292,89.969,0.158,0
Sk8er Boi,Avril Lavigne,0,204000,6.790000000000001e-05,0.48700000000000004,0.9,0.0,0,0.358,-4.417,0.0482,149.937,0.484,0
Womanizer,Britney Spears,0,224400,0.073,0.7240000000000001,0.695,0.0,11,0.0889,-5.226,0.0622,139.0,0.235,0
Give Me Everything,Pitbull,0,252306,0.192,0.6709999999999999,0.9390000000000001,0.0,8,0.298,-3.2060000000000004,0.161,129.023,0.529,0
Single Ladies (Put a Ring on It),Beyoncé,0,193213,0.0383,0.426,0.584,0.0,1,0.188,-5.292999999999999,0.29600000000000004,193.437,0.272,0
Bleeding Love,Leona Lewis,0,262466,0.188,0.638,0.6559999999999999,0.0,5,0.146,-5.886,0.0357,104.036,0.225,0
Lose My Breath,Destiny's Child,0,242013,0.00727,0.8140000000000001,0.899,0.21899999999999997,1,0.0979,-5.957999999999999,0.0637,119.01100000000001,0.545,0
Love Song,Sara Bareilles,0,258826,0.0208,0.583,0.7859999999999999,0.0,2,0.188,-3.142,0.0301,123.052,0.573,0
Ms. Jackson,OutKast,0,270506,0.142,0.843,0.805,0.0,4,0.0771,-5.946000000000001,0.26899999999999996,94.946,0.615,0
Die Young,Kesha,0,211920,0.00498,0.711,0.7,0.000125,1,0.215,-4.805,0.046,128.001,0.8009999999999999,0
Survivor,Destiny's Child,0,254040,0.0533,0.524,0.904,0.0,8,0.7759999999999999,-2.0709999999999997,0.39799999999999996,161.188,0.655,0
Oops!...I Did It Again,Britney Spears,0,211160,0.3,0.7509999999999999,0.8340000000000001,1.77e-05,1,0.355,-5.444,0.0437,95.053,0.894,0
Cry Me a River,Justin Timberlake,0,288333,0.575,0.624,0.653,0.0,8,0.10400000000000001,-6.582000000000001,0.17600000000000002,73.884,0.565,0
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,1,248413,0.0426,0.794,0.8109999999999999,1.07e-06,6,0.10099999999999999,-8.966000000000001,0.038,116.04700000000001,0.862,0
Whatever You Like,T.I.,0,249533,0.0161,0.68,0.687,0.0,9,0.261,-6.162000000000001,0.0709,150.053,0.467,0
"One, Two Step",Ciara,0,203786,0.042,0.9440000000000001,0.511,0.00107,5,0.0379,-10.96,0.161,113.046,0.8420000000000001,0
Unwritten,Natasha Bedingfield,0,259333,0.00577,0.706,0.8009999999999999,0.0,5,0.0822,-6.332999999999999,0.0399,100.01299999999999,0.63,0
Wrecking Ball,Miley Cyrus,0,221360,0.40700000000000003,0.53,0.42200000000000004,0.0,5,0.107,-6.2620000000000005,0.0342,119.964,0.349,0
So What,P!nk,0,215160,0.000304,0.535,0.8859999999999999,2.26e-06,11,0.257,-3.1060000000000003,0.045,126.012,0.445,0
"Whenever, Wherever",Shakira,0,196160,0.23600000000000002,0.7929999999999999,0.8320000000000001,1.12e-05,1,0.20199999999999999,-4.862,0.0406,107.661,0.872,0
Baby Boy,Beyoncé,0,244826,0.0825,0.655,0.488,1.16e-06,1,0.221,-9.17,0.22,91.025,0.7909999999999999,0
It's Gonna Be Me,*NSYNC,0,192426,0.0407,0.636,0.873,1.27e-06,0,0.0372,-4.672,0.071,165.071,0.9079999999999999,0
My Boo,Usher,0,223440,0.257,0.662,0.507,0.0,5,0.0465,-8.238,0.11800000000000001,86.412,0.6759999999999999,0
Stronger (What Doesn't Kill You),Kelly Clarkson,0,221920,0.0411,0.555,0.9229999999999999,0.0,0,0.11199999999999999,-5.9079999999999995,0.0482,116.012,0.682,0
Over My Head (Cable Car),The Fray,0,236373,0.0204,0.591,0.6990000000000001,0.0,8,0.0614,-5.221,0.0449,116.029,0.733,0
For the First Time,The Script,0,252853,0.0328,0.396,0.629,0.0,9,0.183,-4.78,0.0287,173.794,0.358,0
Girlfriend,Avril Lavigne,0,216600,0.0007379999999999999,0.56,0.9590000000000001,0.000206,7,0.209,-2.4330000000000003,0.102,163.983,0.67,0
Fallin',Alicia Keys,0,210200,0.263,0.653,0.609,0.00101,11,0.233,-7.519,0.037000000000000005,95.98200000000001,0.48200000000000004,0
How to Save a Life,The Fray,0,262533,0.26899999999999996,0.64,0.743,0.0,10,0.10099999999999999,-4.08,0.0379,122.035,0.361,0
Not Over You,Gavin DeGraw,0,218520,0.255,0.63,0.894,0.0,10,0.18100000000000002,-4.592,0.0544,142.05100000000002,0.364,0
Before He Cheats,Carrie Underwood,0,199946,0.271,0.519,0.7490000000000001,0.0,6,0.11900000000000001,-3.318,0.0405,147.905,0.29,0
Dirrty (feat. Redman),Christina Aguilera,1,298853,0.107,0.64,0.889,0.0,2,0.33899999999999997,-3.073,0.322,99.931,0.436,0
Caught Up,Usher,0,224946,0.0251,0.815,0.8079999999999999,5.37e-06,6,0.12,-4.614,0.0511,110.06299999999999,0.746,0
If I Ain't Got You,Alicia Keys,0,228706,0.603,0.609,0.445,6.77e-06,7,0.10400000000000001,-9.129,0.106,118.39299999999999,0.166,0
Wherever You Will Go,The Calling,0,209360,0.0392,0.551,0.696,0.0,2,0.127,-6.192,0.0265,112.024,0.354,0
You Found Me,The Fray,0,241853,0.0187,0.33799999999999997,0.8029999999999999,0.0,8,0.136,-5.412000000000001,0.0413,151.994,0.4,0
"Independent Women, Pt. 1",Destiny's Child,0,221626,0.38799999999999996,0.517,0.598,2.22e-06,6,0.183,-3.7510000000000003,0.263,96.93299999999999,0.922,0
